,name,address,sido,gugun
0,감정점,"경기도 김포시  북변1로 36, 106호",경기도,김포시
1,갈현2동점,서울특별시 은평구 갈현2동 506-33번지,서울특별시,은평구
2,갈매점,"경기도 구리시 갈매순환로204 8-52, 101호 전면 왼쪽상가",경기도,구리시
3,갈말점,강원도 철원군 갈말읍 명성로139번길 13-22,강원도,철원군
4,간성점,강원도 고성군 간성읍 간성로 67,강원도,고성군
5,간석점,인천광역시  남동구   예술로 278,인천광역시,
6,가평점,경기도 가평군 가평읍 오리나무길 41-15,경기도,가평군
7,가좌1호점,인천광역시 서구 가좌동 7번지,인천광역시,서구
8,가정점,"인천광역시 서구  염곡로498번안길 11-1, 1층 일부",인천광역시,서구
9,가양점,서울특별시 강서구 가양동 1479-3번지 1층 104호,서울특별시,강서구
10,가산점,서울특별시 금천구 가산동 151-25,서울특별시,금천구
11,가락본동점,서울특별시 송파구  송파대로30길 41-34,서울특별시,송파구
12,가곡수동점,경기도 남양주시 수동면 비룡로 716,경기도,남양주시
13,[폐]경북성주점, ,,
